age,birth_year,cause_of_death,death_month,death_year,famous_for,name,nationality
85,1931, natural causes,January,2006,American businessman chairman of IBM (1973–1981),Frank Cary,American
49,1967, murdered,January,2006,American musician (House of Freaks Gutterball),Bryan Harvey,American
64,1952, Alzheimer's disease,January,2006,American baseball player (Oakland Athletics),Paul Lindblad,American
86,1930, Alzheimer's disease,January,2006,American politician Representative from Oregon (1957–1961),Charles O. Porter,American
82,1934, cancer,January,2006,Cuban nightclub owner (Tropicana Club),Ofelia Fox,Cuban
52,1964, stroke,January,2006,Papua New Guinean politician Prime Minister (1997–1999),Sir William Skate,Papua
31,1985, probably pulmonary embolism,January,2006,Hungarian footballer (soccer player),Gábor Zavadszky,Hungarian
31,1985, from injuries sustained in a biking accident,January,2006,Argentine football (soccer) player,José Luis Sánchez,Argentine
55,1961,,January,2006,Canadian inventor (KISS rebreather),Gordon Smith,Canadian
70,1946, lung cancer,January,2006,American actor (The Guiding Light),Don Stewart,American
39,1977, heart attack,January,2006,German DJ prominent figure in trance music and member of (Jam & Spoon),Mark Spoon,German
80,1936,,January,2006,American stage (Suddenly Last Summer) and television actress (Another World),Anne Meacham,American
83,1933,,January,2006,Canadian broadcaster and politician,Gordon Atkinson,Canadian
85,1931, heart failure,January,2006,American actress (Lolita The Poseidon Adventure),Shelley Winters,American
90,1926, doctor to Josip Broz Tito,January,2006,Croatian physician,Stjepan Steiner,Croatian
90,1926,,January,2006, Financial Secretary of Hong Kong (1961–1971),John James Cowperthwaite,British
65,1951,,January,2006,Turkih academic and politician (chairman of SHP)[citation needed],Aydın Güven Gürkan,Turkih
94,1922,,January,2006,former Republican United States Representative from Nebraska (1975–1991),Virginia Smith,former
92,1924,,January,2006,"British humorist (""Peter Simple"")",Michael Wharton,British
41,1975, complications from a long illness,January,2006,former MLB player,Carlos (Café) Martínez,former
75,1941,,January,2006,President of Germany (Bundespräsident) from 1999 - 2004,Johannes Rau,President
76,1940,,January,2006, Deputy Chief Minister of Gibraltar (1956–1984),Peter Isola,Gibraltarian
53,1963,,January,2006, founder of the Broadcast Film Critics Association (BFCA),Paul Clinton,CNN
38,1978, complications from drug abuse,January,2006,American punk rock singer (Rich Kids on LSD),Jason Sears,American
78,1938, U,February,2006,American politician,Ronald B. Cameron,American
78,1938,,February,2006,former British Conservative Member of Parliament,John Woollam,former
82,1934, and radio host,February,2006,American actor (Grandpa Munster on The Munsters) Green Party political candidate restaurateur,Al Lewis,American
79,1937,,February,2006, amyotrophic lateral sclerosis (Lou Gehrig's Disease),Joe McGuff,American
96,1920,,February,2006,American judge on the U,Max Rosenn,American
76,1940, murdered,February,2006,American TV writer director (Curious George animated films),Alan Shalleck,American
59,1957,,February,2006,French computer scientist,Gilles Kahn,French
80,1936, Alzheimer's disease,February,2006,Bavarian-born American football player (Pittsburgh Steelers) and member of the Pro Football Hall of Fame,Ernie Stautner,Bavarian-born
68,1948,,February,2006, Prime Minister of Serbia (1994–2000),Mirko Marjanovic,Serbian
81,1935, complications from aspiration pneumonia and lung cancer,February,2006,American actor (The Andy Griffith Show Three's Company),Don Knotts,American
80,1936, poor health,February,2006,Gordon Wu Professor of Chinese Studies Princeton University (1980–1994) creator of the 15 volume The Cambridge History of China,Denis Twitchett,Gordon
81,1935, complications from cancer,February,2006,American actor (Gunsmoke McCloud),Dennis Weaver,American
83,1933, natural causes,February,2006,American actor (Kolchak: The Night Stalker A Christmas Story),Darren McGavin,American
89,1927,,March,2006,former Democratic lieutenant governor of New Mexico (1963 — 1966),Mack Easley,former
83,1933, prostate cancer,March,2006,former Democratic United States Representative from Michigan (1973–1977),Richard Vander Veen,former
89,1927,,March,2006, Bishop of La Crosse (1983–1994),John Joseph Paul,American
45,1971, stroke complications,March,2006,American baseball player (Minnesota Twins) and member of the MLB Hall of Fame,Kirby Puckett,American
97,1919,,March,2006,(also: Wèi Lùshī 魏璐诗) Austrian-Chinese journalist and member of the Chinese People's Political Consultative Conference,Ruth Weiss,(also:
79,1937,,March,2006,American college football coach (Oklahoma State University),Floyd Gass,American
88,1928,,March,2006,former Democratic United States Representative from California (1956–1978),John Joseph McFall,former
93,1923, cancer,March,2006,photographer film director (Shaft),Gordon Parks,photographer
81,1935,,March,2006,American actor (Once Upon a Mattress) [70],Joseph Bova,American
67,1949,,March,2006,American novelist and founding editor of TriQuarterly,Charles Newman (author),American
80,1936, chronic obstructive pulmonary disease,March,2006,American actress (Plaza Suite Cocoon),Maureen Stapleton,American
63,1953, plane crash,March,2006,American game show host (Press Your Luck),Peter Tomarken,American
87,1929, heart failure,March,2006,former Prime Minister of Greece (1980–1981),Georgios Rallis,former
86,1930, cancer,March,2006,Speaker of Pennsylvania House of Representatives (first African-American Speaker in any U.S. state government),K. Leroy Irvis,Speaker
92,1924,,March,2006,Queensland (Australia) politician [109],Sir Wallace Rae,Queensland
80,1936, and World War II veteran,March,2006,American actor (Zorro) fencer,Britt Lomond,American
82,1934,,March,2006,British Labour MP for Bedford (1966–1970) [130],Brian Parkyn,British
87,1929, (Dream Baby) for Roy Orbison et al,March,2006,American country-western songwriter,Cindy Walker,American
89,1927,,March,2006,American film director (Tora! Tora! Tora! 20000 Leagues Under the Sea Soylent Green) [148],Richard Fleischer,American
76,1940, heart attack,March,2006,American country music star (Hee Haw),Buck Owens,American
61,1955, cerebral hemorrhage [153],March,2006,Indian politician,Anil Biswas (politician),Indian
77,1939,,March,2006,American television producer (Dark Shadows The Winds of War),Dan Curtis,American
75,1941,,March,2006,Uruguayan Minister of Labour (1990–1991) and of Transport (2000–2002),Carlos Cat,Uruguayan
78,1938, [176],March,2006,Haryana's four time chief minister and defence minister of India during Indian Emergency (1975–77). [175],Bansi Lal,Haryana's
84,1932, the General Secretary (1987–2000) and Vice-Chairman of the Cricket Society (2000–2001) [180],March,2006,English administrator,Eric Budd,English
85,1931,,March,2006,American author and screenwriter (What Ever Happened to Baby Jane? Hush… Hush Sweet Charlotte),Henry Farrell,American
80,1936, USA,March,2006,"American country singer/songwriter (""Don't Let Me Cross Over"" ""Just Over the Line"") longtime companion of William Little guitarist (Even Keel) of California",Penny Jay,American
93,1923, National Champion (1954) [60],April,2006,German cyclist,Hermann Schild,German
81,1935, complications from brain haemorrhage,April,2006,Swedish film director (I Am Curious (Yellow)),Vilgot Sjöman,Swedish
88,1928,,April,2006, (The Prime of Miss Jean Brodie),Dame Muriel Spark,British
40,1976, [93],April,2006,English noble epilepsy,Lord Eliot (Jago Eliot),English
93,1923,,April,2006,American author (The Taking of Pelham One Two Three) under the pseudonym of John Godey,Morton Freedgood,American
50,1966, Lou Gehrig's disease,April,2006,American television producer and director (The Shield),Scott Brazil,American
88,1928,,April,2006,American actor (As the World Turns),Henderson Forsythe,American
89,1927,,April,2006, Physician to the Queen (1973-1981),Sir Richard Bayliss,British
89,1927,,April,2006,former Los Angeles police chief (1969–1978),Ed Davis,former
84,1932,,April,2006,Italian actress (The Third Man),Alida Valli,Italian
84,1932,,April,2006,American television writer and producer (The Love Boat Love American Style),Harvey Bullock,American
93,1923,,April,2006,Scottish footballer (Hibernian F,Willie Finnigan,Scottish
64,1952,,April,2006,"British TV and film actress (""The Adventures of William Tell"")",Jennifer Jayne,British
91,1925, one of the largest Hassidic Jewish groups in the world,April,2006,of Satmar,Grand Rabbi Moshe Teitelbaum (Satmar),of
89,1927, stroke,April,2006,American-born Canadian urban activist and author (The Death and Life of Great American Cities),Jane Jacobs,American-born
42,1974,,April,2006,former Major League Baseball pitcher (injuries due to a fall) [179],Russ Swan,former
97,1919, natural causes,April,2006,American economist and author (The Affluent Society),John Kenneth Galbraith,American
105,1911,,April,2006,British First World War veteran [206],William (Bill) Roberts,British
65,1951,,May,2006,American saxophonist (Johnny & the Hurricanes) [8],Johnny Paris,American
88,1928, pulmonary hypertension,May,2006,Argentine theater actress director and teacher,Alejandra Boero,Argentine
48,1968,,May,2006,Canadian Broadcasting Corporation (CBC) broadcaster,Lorne Saxberg,Canadian
62,1954, heart attack,May,2006,Australian television journalist (60 Minutes),Richard Carleton,Australian
68,1948, pancreatic cancer,May,2006,Japanese voice actress and actress and tokusatsu legend (Kyoryu Sentai Zyuranger Mighty Morphin' Power Rangers etc.),Machiko Soga,Japanese
73,1943,,May,2006, MHR for Division of Swan (1969–1975),Adrian Bennett,Australian
94,1922,,May,2006,British film writer and director (The Quatermass Xperiment Casino Royale) [56],Val Guest,British
85,1931, stroke,May,2006,American actor (Tom Corbett Space Cadet),Frankie Thomas,American
92,1924,,May,2006, scriptwriter (Bedtime for Bonzo),Ted Berkman,author
76,1940, complications of cancer,May,2006,American actress/soprano (Man of La Mancha),Joan Diener,American
76,1940, complications of cancer,May,2006,American actress/soprano (Man of La Mancha),Joan Diener,American
93,1923,,May,2006,head football coach at University of Virginia (1965–1970),George Blackburn,head
66,1950,,May,2006,American author (Fat Girl - A True Story),Judith Moore,American
84,1932,,May,2006, NSW MLC (1984–1995),Beryl Evans,Australian
49,1967, suspected heart attack [109],May,2006,former NFL football player (Cincinnati Bengals),Dan Ross,former
95,1921,,May,2006,American Broadway producer and writer (Guys and Dolls),Cy Feuer,American
37,1979,,May,2006,former drummer (Built to Spill),"James Andrew ""Andy"" Capps",former
77,1939,,May,2006,Japanese actor (Tora! Tora! Tora!),Takahiro Tamura,Japanese
91,1925, prostate cancer,May,2006,Academy Awards-winning art director (To Kill a Mockingbird The Sting),Henry Bumstead,Academy
86,1930, lung ailments,May,2006,Congressman for Connecticut 3rd District (1959−1981),Robert Giaimo,Congressman
64,1952, engineer for Digital Equipment,May,2006,American early video game designer (Spacewar!),Alan Kotok,American
84,1932, cancer,May,2006,American tennis player winner at Wimbledon (1949) and the U.S. Open (1942),Ted Schroeder,American
67,1949, mesothelioma,May,2006,American actor (The Breakfast Club),Paul Gleason,American
77,1939,,May,2006,American comic book artist and cartoonist (Space Ghost Jonny Quest),Alex Toth,American
82,1934, complications from renal failure,May,2006,Argentine historian,Fermín Chávez,Argentine
79,1937, liver cancer,May,2006,Japanese film director (Black Rain) two-time winner of the Palme d'Or,Shohei Imamura,Japanese
84,1932, father of folk singer Maddy Prior,June,2006,British television scriptwriter (Z-Cars Howards' Way The Charmer),Allan Prior,British
87,1929,,June,2006,director of American Bandstand (1952–1969),Edward Yates,director
46,1970,,June,2006,British footballer (Tranmere Rovers),John Kerr,British
59,1957, malignant hypertension leading to kidney failure,June,2006,"American musician (""You Are So Beautiful"" ""Nothing from Nothing"") known for his work with the Beatles",Billy Preston,American
74,1942,,June,2006, cancer (see [43]),Terry McCann,Olympic
95,1921, brother of Otto Preminger,June,2006,Hollywood talent agent and producer (M*A*S*H),Ingo Preminger,Hollywood
42,1974, bladder cancer,June,2006,Canadian professional wrestler for the World Wrestling Federation,John Tenta (aka Earthquake),Canadian
65,1951,,June,2006,American comic book artist and co-founder of Rip Off Press,Jack Jackson (nom de plume Jaxon),American
43,1973, heart attack [109],June,2006,Brazilian comedian member of Casseta & Planeta,Cláudio Besserman Vianna (Bussunda),Brazilian
86,1930, emphysema and heart disease,June,2006,American character actor (Sands of Iwo Jima Invaders from Mars),Arthur Franz,American
71,1945, cause unknown,June,2006,Russian politician leader of the Agrarian Party and former president of the Altai Republic (2002–2006),Mikhail Lapshin,Russian
77,1939,,June,2006,film director in Hollywood (“The Night of the Following Day” “Les Grandes Moyens” etc,Hubert Cornfield,film
99,1917, natural causes,June,2006,American film director (Mr. Skeffington The Young Philadelphians),Vincent Sherman,American
81,1935,,June,2006, Dean of Jersey (1985–1993),Basil O'Ferrall,Irish
70,1946,,June,2006,Australian rules footballer (North Melbourne),Tom Pelly,Australian
83,1933, complications of stroke,June,2006,American television producer (Charlie's Angels Starsky and Hutch Beverly Hills 90210),Aaron Spelling,American
68,1948,,July,2006,Prime Minister of Japan (1996–1998),Ryutaro Hashimoto,Prime
55,1961, suicide by gunshot,July,2006,American actor (As the World Turns),Benjamin Hendrickson,American
32,1984, suicide,July,2006,Uruguayan film director,Juan Pablo Rebella,Uruguayan
80,1936, stroke,July,2006,American actress (Bewitched) and motocross racer,Kasey Rogers,American
79,1937, cancer,July,2006,President of Lebanon (1989–98),Elias Hrawi,President
93,1923, died in his sleep,July,2006,Mayor of Milwaukee (1948–1960) and last Socialist Party of America mayor of a major city,Frank P. Zeidler,Mayor
97,1919,,July,2006,Indian novelist (Kanthapura),Raja Rao,Indian
68,1948,,July,2006,"British singer (""Ain't Misbehavin'"")",Tommy Bruce,British
69,1947,,July,2006,American baseball player (All-American Girls Professional Baseball League),Phyllis Baker,American
90,1926,,July,2006,American Tony and Emmy Award-winning actor (Doc Hollywood First Monday in October),Barnard Hughes,American
89,1927, stroke,July,2006,Swiss-German actor (Sahara The Enemy Below),Kurt Kreuger,Swiss-German
64,1952,,July,2006,Italian actress (Django Ten Thousand Dollars for a Massacre) and model,Loredana Nusciak,Italian
73,1943, pancreatic cancer,July,2006,Brazilian actor,Raul Cortez,Brazilian
89,1927,,July,2006,Saturday Review theater critic and editor of Best Plays (1960–1964),Henry Hewes,Saturday
85,1931, heart and kidney failure,July,2006,Emmy Award-winning American actor (Heaven Can Wait While You Were Sleeping),Jack Warden,Emmy
83,1933, sculptor and writer,July,2006,Italian painter,Ugo Attardi,Italian
92,1924,,July,2006,French Marxist economist and historian,Charles Bettelheim,French
89,1927,,July,2006,American character actor (Thing From Another World),Robert Cornthwaite,American
77,1939, Lord Mayor of Dublin (1975–1976) and senator,July,2006,Irish politician,Paddy Dunne,Irish
73,1943, prostate cancer,July,2006,longtime Democratic leader of Queens NY former US Representative (1985–99),Thomas J. Manton,longtime
86,1930,,July,2006,Norwegian government minister,Rolf Arthur Hansen,Norwegian
87,1929, hydrocephalus,July,2006,president of The Ohio State University (1972–1981) fired football coach Woody Hayes,Harold Enarson,president
86,1930,,July,2006,member of the United States House of Representatives (1982–1992),James Olin,member
75,1941, cancer,August,2006,German politician prime minister of Hesse (1976–1987),Holger Börner,German
64,1952, cancer,August,2006,Swiss filmmaker and director (Il Bacio di Tosca),Daniel Schmid,Swiss
77,1939,,August,2006, former President of the Queensland National Party (1970–1990),Sir Robert Sparkes,Australian
89,1927,,August,2006,Spanish Olympic field hockey player (1948),Rafael Ruiz,Spanish
71,1945,,August,2006, (1981–1998),Alice Ilchman,American
89,1927,,August,2006,American Speaker of the New York State Assembly (1959–1964),Joseph Carlino,American
90,1926, stroke,August,2006,American National Boxing Association middleweight champion (1938–1939),Al Hostak,American
31,1985, suicide,August,2006,Swedish lead guitarist and vocalist (Dissection) convicted of felony murder,Jon Nödtveidt,Swedish
49,1967, amyotrophic lateral sclerosis,August,2006,Thai boxer first Thai Olympic medal winner (bronze 1976) World Boxing Council champion,Payao Poontarat,Thai
57,1959, complications from leukemia,August,2006,American character actor (The Godfather Part II City Slickers),Bruno Kirby,American
93,1923, complications from hernia surgery,August,2006,Paraguayan President (1954–1989),Alfredo Stroessner,Paraguayan
59,1957,,August,2006,Irish rugby union player (1967–1970),Ken Goodall,Irish
82,1934, discovered cause of sickle cell anemia,August,2006,German-born American molecular biologist (MIT),Vernon Ingram,German-born
87,1929,,August,2006,American film producer (Super Fly),Sig Shore,American
84,1932,,August,2006,Polish-born American professor of economics (Columbia University),Jacob Mincer,Polish-born
75,1941,,August,2006,Italian film director,Giuseppe Moccia,Italian
94,1922, natural causes,August,2006,American Pulitzer Prize-winning photographer (Raising the Flag on Iwo Jima),Joe Rosenthal,American
75,1941, heart attack,August,2006,Australian Labor politician Victorian Minister for Sport (1982–1992) Australian rules football player,Neil Trezise,Australian
60,1956, cancer,August,2006,Norwegian politician (KrF) Minister of Education (1997–2000),Jon Lilletun,Norwegian
89,1927,,August,2006,Australian test cricketer (1949–1953),Geff Noblet,Australian
55,1961, lymphoma,August,2006,American drummer (The Knack),Bruce Gary,American
90,1926,,August,2006, Provost of Wakefield (1972–1982),John Lister,British
56,1960, heart attack,August,2006,American news anchor (CNN),Jay Young,American
66,1950,,August,2006,American actor (Live and Let Die),Earl Jolly Brown,American
91,1925,,August,2006,German journalist and politician,Herbert Hupka,German
65,1951, heart attack,August,2006,Russian actor,Viktor Pavlov,Russian
75,1941,,August,2006, chairman of Granada Television (1987–1992),David Plowright,British
89,1927,,August,2006,American baseball player (Cincinnati Reds New York Giants),Gene Thompson,American
88,1928,,August,2006, President (1987–1997),Noor Hassanali,Trinidadian
84,1932, co-creator of The Outer Limits,August,2006,American screenwriter (Psycho),Joseph Stefano,American
82,1934, Chairman of the CDU,August,2006,German President of the Bundestag,Rainer Barzel,German
65,1951, car crash,August,2006,Ukrainian football coach (Dnipro Dnipropetrovsk),Yevhen Kucherevskyi,Ukrainian
93,1923,,August,2006,American plaintiff (McCollum v,Vashti McCollum,American
75,1941, cancer,August,2006,Brazilian Archbishop of Mariana,Luciano Mendes de Almeida,Brazilian
37,1979, complications of diabetic coma,August,2006,American guitarist (Terrorizer Napalm Death),Jesse Pintado,American
80,1936, heart failure,August,2006,American actress (The Great Gildersleeve),Mary Lee Robb Cline,American
56,1960,,August,2006,British drummer (Gong Hatfield and the North),Pip Pyle,British
87,1929, pneumonia,August,2006,American Governor of Hawaii (1957–1962),William F. Quinn,American
84,1932,,August,2006,American author (The Last Angry Man) and screenwriter (Holocaust),Gerald Green,American
90,1926,,August,2006,Canadian-born American actor (Blackboard Jungle Cimarron),Glenn Ford,Canadian-born
93,1923,,August,2006,American baseball player (Boston Red Sox),Charlie Wagner,American
66,1950, heart attack,September,2006,American wrestler and coach (Oklahoma State University),Tommy Chesbro,American
68,1948, heart failure,September,2006,American football player (San Francisco 49ers),Monty Stickles,American
77,1939, Parkinson's disease,September,2006,British comedian and footballer (Doncaster Rovers),Charlie Williams,British
69,1947,,September,2006,French ethnologist and archaeologist,Françoise Claustre,French
91,1925, heart failure,September,2006,German actress,Annemarie Wendl,German
38,1978, suicide,September,2006,Belgian writer film producer and director (Man Bites Dog),Rémy Belvaux,Belgian
86,1930,,September,2006,Hungarian film director,Tamás Fejér,Hungarian
44,1972, stingray barb to the chest,September,2006,Australian naturalist (The Crocodile Hunter),Steve Irwin,Australian
26,1990, suicide by hanging,September,2006,South African jazz saxophonist Best Newcomer at South African Music Awards (2002),Moses Khumalo,South
66,1950, cancer,September,2006,British television presenter (Holiday),Anne Gregg,British
83,1933,,September,2006,British comics artist (James Bond),John McLusky,British
89,1927, after long illness,September,2006,American finance columnist (Boston Globe) husband of Beverly Sills,Peter Greenough,American
89,1927, heart attack,September,2006,American television journalist (NBC and CBS),Gordon Manning,American
76,1940, President of the Chichester Festival Theatre,September,2006,British politician MP for Arundel (1974–1997),Sir Michael Marshall,British
77,1939,,September,2006,Estonian painter,Efraim Allsalu,Estonian
78,1938,,September,2006, Medical Officer to the Queen (1976–1993),Sir Norman Blacklock,British
74,1942,,September,2006, Ambassador to Italy (1989–1992),Sir Stephen Egerton,British
74,1942,,September,2006,British controller of the BBC in Northern Ireland (1979–1989),James Hawthorne,British
71,1945, pulmonary fibrosis,September,2006,American Governor of Montana (1973–1981),Thomas Lee Judge,American
87,1929,,September,2006,British character actor (As Time Goes By),Frank Middlemass,British
80,1936, stroke,September,2006,American college football coach (University of Georgia Georgia Southern University),Erk Russell,American
79,1937, cancer,September,2006,French screenwriter (The Fearless Vampire Killers The Name of the Rose),Gérard Brach,French
84,1932, complications from Alzheimer's disease,September,2006,American Representative for California (1973–1983),Clair Burgener,American
27,1989, ARVC,September,2006,British footballer (Hinckley United ),Matt Gadsby,British
71,1945,,September,2006,American Representative for Oklahoma (1975–1979),Ted Risenhoover,American
76,1940, heart failure,September,2006,American actor (Murphy Brown),Pat Corley,American
88,1928,,September,2006,American author (The Desperate Hours),Joseph Hayes,American
85,1931,,September,2006, first president of the European Patent Office (1977–1985),Johannes Bob van Benthem,Dutch
65,1951, cancer,September,2006,American football player (Pittsburgh Steelers),Bill Saul,American
66,1950,,September,2006,English football player (Chester City),Brian Biggins,English
25,1991, suicide by gunshot,September,2006,Canadian school shooter (Dawson College shooting),Kimveer Gill,Canadian
73,1943, esophageal cancer,September,2006,American Governor of Texas (1991–1995),Ann Richards,American
58,1958, brain cancer,September,2006,Brazilian journalist and presenter,Paulo Marques,Brazilian
91,1925, pancreatic cancer,September,2006,American television actor (Search for Tomorrow),Terry O'Sullivan,American
84,1932,,September,2006,British television presenter (Tomorrow's World),Raymond Baxter,British
78,1938,,September,2006,American professor of psychology (University of Minnesota),David T. Lykken,American
19,1997, plane crash,September,2006,Mexican actor (Greetings from Tucson),Pablo Santos,Mexican
83,1933, heart attack,September,2006,Swedish Minister for Foreign Affairs (1985–1991) and Minister for Social Affairs (1982–1985),Sten Andersson,Swedish
81,1935,,September,2006,Canadian four-time Stanley Cup winner (Montreal Canadiens),Floyd Curry,Canadian
81,1935,,September,2006,American Major League Baseball player (Brooklyn Dodgers),Jack Banta,American
66,1950,,September,2006,English footballer (Manchester City),George Heslop,English
58,1958,,September,2006,Japanese anime voice actor (Sailor Moon Dragon Ball),Kazuyuki Sogabe,Japanese
81,1935,,September,2006,American Governor of Massachusetts (1979–1983),Edward J. King,American
77,1939,,September,2006,American actress (Donovan's Reef Do I Hear a Waltz? The Jackie Gleason Show),Elizabeth Allen,American
77,1939, pneumonia,September,2006,American saxophonist and vocalist (The Champs),Danny Flores,American
47,1969, cancer,September,2006,Australian rules football player (Richmond St Kilda),Terry Smith,Australian
65,1951,,September,2006,American professor of women's studies (Concordia University),Lillian Robinson,American
83,1933,,September,2006,American college football coach (Michigan State University),Muddy Waters,American
60,1956, heart attack,September,2006,British bassist and vocalist (Bad Company King Crimson),Boz Burrell,British
86,1930,,September,2006,American television writer and Emmy Award-nominated producer (The F,Charles Larson,American
56,1960,,September,2006,Dutch basketball player,Carla Benschop,Dutch
84,1932, chest infection,September,2006,British Academy Award-winning film score composer (The Bridge on the River Kwai),Sir Malcolm Arnold,British
88,1928, cancer,September,2006,Australian Deputy Premier of New South Wales (1965–1975),Sir Charles Cutler,Australian
49,1967,,September,2006,American artist and screenwriter(Without You I'm Nothing),John S. Boskovich,American
86,1930, heart failure and pneumonia,September,2006,American Republican congressman for Virginia (1953–1975),Joel Broyhill,American
56,1960, heart attack,September,2006,American actor president of Actors' Equity Association (2000–2006),Patrick Quinn,American
85,1931,,September,2006,American author (Seventeenth Summer),Maureen Daly,American
96,1920,,September,2006,Russian First Hierarch of the Russian Orthodox Church Outside Russia (1985–2001),Metropolitan Vitaly Ustinov,Russian
77,1939,,September,2006,German inventor of Sandmännchen children's television character,Gerhard Behrendt,German
86,1930, emphysema,September,2006,American radio broadcaster and television host (The $64000 Challenge),Ralph Story,American
30,1986, heart failure,September,2006,Norwegian singer,Jan Werner Danielsen,Norwegian
92,1924,,September,2006, MP for Hunter (1960–1980),Bert James,Australian
73,1943, leukemia,September,2006,Swedish oil and mining entrepreneur,Adolf H. Lundin,Swedish
99,1917,,September,2006,Slovenian ballet dancer,Pino Mlakar,Slovenian
78,1938,,September,2006,French novelist,André Schwarz-Bart,French
79,1937, melanoma,September,2006,Romanian writer of Hungarian descent,András Sütő,Romanian
74,1942,,October,2006,German film director (Jacob the Liar),Frank Beyer,German
82,1934, second wife of President Fulgencio Batista,October,2006,Cuban First Lady (1952–1959),Marta Fernandez Miranda de Batista,Cuban
68,1948, car accident,October,2006,American Republican Representative for Idaho (1995–2001),Helen Chenoweth-Hage,American
59,1957, complications from pneumonia and multiple sclerosis,October,2006,American actress (Cleopatra Jones),Tamara Dobson,American
85,1931,,October,2006,American Major League Baseball player (Cincinnati Reds),Clyde Vollmer,American
80,1936, writer and film director,October,2006,Italian actor,Riccardo Pazzaglia,Italian
78,1938, cousin of Huey Long,October,2006,American Democratic Representative for Louisiana (1964–1972),Speedy O. Long,American
75,1941, silver medalist in the 200m at the 1952 Olympics,October,2006,Dutch athlete,Bertha Brouwer,Dutch
66,1950,,October,2006,Argentinian film director,Eduardo Mignogna,Argentinian
25,1991, car accident,October,2006,Filipino news reporter (24 Oras),Danifel Campilan,Filipino
85,1931,,October,2006,Slovak Catholic bishop,Pavol Hnilica,Slovak
93,1923,,October,2006,Turkish archaeologist specializing in Hittitology,Sedat Alp,Turkish
75,1941, stroke,October,2006,French transsexual singer,Coccinelle,French
80,1936,,October,2006, Minister of State for Housing and Local Government (1974–1979),Reg Freeson,British
60,1956, composer and lyricist,October,2006,Polish singer,Marek Grechuta,Polish
73,1943, heart attack,October,2006,Mexican politician and diplomat (Interior Minister 1969–1976),Mario Moya Palencia,Mexican
82,1934,,October,2006, CEO of Novell (1982–1994),Raymond Noorda,American
68,1948, prostate cancer,October,2006,American Emmy-winning television comedy writer (Tracey Ullman Dick Van Dyke),Jerry Belson,American
100,1916,,October,2006, won 1980 Sahitya Akademi Award (Kristubhagavatam),P. C. Devassia,Indian
76,1940,,October,2006,British Secretary-General of the General Synod of the Church of England (1972–1990) [74],Sir Derek Pattinson,British
72,1944,,October,2006,Canadian Attorney General of Ontario (1985–1990),Ian Scott,Canadian
86,1930,,October,2006, Conservative MP for St Albans (1959–1983),Sir Victor Goodhew,British
34,1982, victim of the 2006 New York City plane crash,October,2006,American baseball pitcher (New York Yankees),Cory Lidle,American
96,1920,,October,2006,British judge and Vice-Chancellor of the Supreme Court (1982–1985),Sir Robert Megarry,British
88,1928,,October,2006,American baseball player and coach (Boston College),Eddie Pellagrini,American
91,1925,,October,2006,French racing driver,Eugène Martin,French
86,1930, heart failure,October,2006,Italian film director (The Battle of Algiers),Gillo Pontecorvo,Italian
87,1929,,October,2006, Virginia (1992–1994),Mason Andrews,American
84,1932,,October,2006, Prefect of the Pontifical Household (1986–1998),Dino Monduzzi,Italian
69,1947, lung cancer,October,2006,"American singer (""Before the Next Teardrop Falls"")",Freddy Fender,American
69,1947, pulmonary embolism,October,2006,American first openly gay congressman represented Massachusetts (1973–1997),Gerry Studds,American
86,1930,,October,2006,British actor (Callan Scott of the Antarctic),Derek Bond,British
69,1947, lung cancer,October,2006,Irish politician Fianna Fáil TD for Dublin South (1977–1987) MEP for Leinster (1984–2004),Niall Andrews,Irish
88,1928,,October,2006, Labour MP for Sheffield Hillsborough (1974–1992),Martin Flannery,British
70,1946, complications from heart surgery,October,2006,Peruvian president (2000–2001),Valentín Paniagua,Peruvian
88,1928,,October,2006,American football player (Philadelphia Eagles),Ernie Steele,American
90,1926, natural causes,October,2006,first Italian female 1936 Olympic champion (80m hurdles),Trebisonda Valla,first
82,1934,,October,2006,French actor (The City of Lost Children),Daniel Emilfork,French
48,1968, metastatic breast cancer,October,2006,American graphic author (Cancer Made Me a Shallower Person),Miriam Engelberg,American
82,1934,,October,2006,Dutch goalkeeper for PSV Eindhoven (1942–1957 1959) and The Netherlands (1953–1954),Lieuwe Steiger,Dutch
87,1929, stroke,October,2006,Swiss president of the International Ski Federation (1951–1998) International Olympic Committee whistleblower,Marc Hodler,Swiss
77,1939, brain hemorrhage,October,2006,Italian cardinal Prefect of the Apostolic Signatura (1999–2004),Mario Francesco Pompedda,Italian
79,1937, post cerebral aneurysm,October,2006,American actress (House of Wax The Thin Man),Phyllis Kirk,American
75,1941, cancer,October,2006,American football player (1955–1964),Don Burroughs,American
96,1920, natural causes,October,2006,American actress (Father Knows Best Star Trek),Jane Wyatt,American
81,1935,,October,2006,Dutch writer of children's literature,Paul Biegel,Dutch
77,1939, pulmonary fibrosis,October,2006,Canadian film director (The Thorn Birds),Daryl Duke,Canadian
92,1924,,October,2006,British cricketer (Hampshire),Howard Lawson,British
82,1934,,October,2006,American football player (Detroit Lions),Bob Mann,American
47,1969, lung cancer,October,2006,American drummer and vocalist (The Runaways),Sandy West,American
87,1929,,October,2006,South Korean president (1979–1980),Choi Kyu-hah,South
89,1927,,October,2006,Japanese former minister of education,Masayuki Fujio,Japanese
